t,i1,q1,q2,i2,p
684,0,0,0,0,0
685,0,0,0,0,0
686,0,0,0,0,4096
687,0,0,0,0,4096
688,0,0,0,0,4096
689,0,0,0,0,4096
690,0,0,0,0,4096
691,0,0,0,0,4096
692,0,0,0,0,0
693,0,0,0,0,0
694,0,0,0,0,0
695,0,234,0,0,0
696,0,34,0,0,0
697,0,52,0,0,4096
698,0,368,0,0,4096
699,0,0,0,0,4096
700,1228,0,0,0,4096
701,3101,0,0,0,4096
702,3861,0,0,0,0
703,4096,0,0,0,0
704,0,4096,0,0,0
705,0,4096,0,0,0
706,0,4096,0,0,0
707,0,4096,0,0,4096
708,0,4096,0,0,4096
709,0,4096,0,0,4096
710,0,3077,0,0,4096
711,0,554,0,0,0
712,0,0,0,0,0
713,0,0,0,0,0
714,0,0,0,0,0
715,0,60,0,0,0
716,0,0,0,0,4096
717,0,0,0,0,4096
718,0,0,0,0,4096
719,0,0,0,0,4096
720,0,0,0,0,4096
721,0,0,0,0,0
722,0,0,0,0,0
723,0,0,0,0,0
724,0,0,0,0,0
725,0,0,0,0,0
726,0,0,0,0,4096
727,0,0,0,0,4096
728,0,0,0,0,4096
729,0,0,0,0,4096
730,0,0,0,0,4096
731,0,0,0,0,0
732,0,0,0,0,0
733,0,0,0,0,0
734,0,0,0,0,0
735,0,0,0,0,0
736,0,0,0,0,4096
737,0,0,0,0,4096
738,0,0,0,0,4096
739,0,0,0,0,4096
740,0,0,0,0,4096
741,0,0,0,0,0
742,0,0,0,0,0
743,0,0,0,0,0
744,0,0,0,0,0
745,0,0,0,0,0
746,0,0,0,0,4096
747,0,0,0,0,4096
748,0,0,4096,0,4096
749,0,0,4096,0,4096
750,0,754,0,0,4096
751,0,1079,0,0,0
752,0,0,0,0,0
753,0,0,0,0,0
754,0,0,0,0,0
755,0,0,0,0,0
756,0,0,0,0,4096
757,0,0,0,0,4096
758,0,0,0,0,4096
759,0,0,0,0,4096
760,0,26,0,0,4096
761,0,0,0,0,0
762,0,0,0,0,0
763,0,0,0,0,0
764,0,0,0,0,0
765,0,0,0,0,0
766,0,0,0,0,4096
767,0,0,0,0,4096
768,0,0,0,0,4096
769,0,0,0,0,4096
770,0,0,0,0,0
771,0,0,0,0,0
772,0,0,0,0,0
773,0,0,0,0,4096
774,0,0,0,0,4096
775,0,0,0,0,4096
776,0,0,0,0,4096
777,0,0,0,0,4096
778,0,0,0,0,0
779,0,0,0,0,0
780,0,0,0,0,0
781,0,0,0,0,0
782,0,0,0,0,0
783,0,0,0,0,4096
784,0,0,0,0,4096
785,0,0,0,0,4096
786,0,0,0,0,4096
787,0,0,0,0,4096
788,0,0,0,0,4096
789,0,0,0,0,0
790,0,0,0,0,0
791,0,0,0,0,0
792,0,0,0,0,0
793,0,0,0,0,0
794,0,0,0,0,4096
795,0,0,0,0,4096
796,0,0,0,0,4096
797,0,0,0,0,4096
